Event,Date,Type,Description
2008 Financial Crisis,2008-09-15,Economic,Lehman Brothers collapse triggered global recession
Arab Spring,2010-12-17,Political,Series of anti-government protests across Middle East
OPEC production cuts 2014,2014-11-27,Policy,"OPEC decided not to cut production, leading to price crash"
COVID-19 pandemic,2020-03-11,Economic,"WHO declared pandemic, global lockdowns reduced oil demand"
Russia-Ukraine war 2022,2022-02-24,Political,Russian invasion led to sanctions and supply concerns
2011 Libya civil war,2011-02-15,Conflict,Civil war disrupted Libyan oil exports
2014 Oil price crash,2014-06-20,Market,Prices fell from $100 to $50 due to oversupply
2019 drone attacks on Saudi Arabia,2019-09-14,Conflict,Attack on Saudi oil facilities disrupted 5% of global supply
2020 Negative oil prices,2020-04-20,Market,WTI crude futures fell to -$37 due to storage shortage
Iran sanctions,2018-05-08,Political,US reinstated sanctions on Iranian oil exports
Iraq War 2003,2003-03-20,Conflict,US invasion of Iraq disrupted Middle East oil production
1990 Gulf War,1990-08-02,Conflict,Iraq's invasion of Kuwait led to oil price spike
2015 Iran nuclear deal,2015-07-14,Political,"Deal lifted sanctions, allowing Iranian oil back to market"
